media_franchise,count
Star Wars,918
Batman,201
Harry Potter,156
Super Mario,152
Marvel,126
Minecraft,120
Disney Princess,108
Jurassic World,97
Spider-Man,94
Avengers,87
Cars,56
DC Comics,56
The Simpsons,38
Bob the Builder,31
Frozen,30
Toy Story,27
Indiana Jones,23
Teenage Mutant Ninja Turtles,23
Disney's Mickey Mouse,20
Thomas & Friends,18
Winnie the Pooh,18
Pirates of the Caribbean,17
The Lord of the Rings,17
Looney Tunes,16
The Muppets,16
Guardians of the Galaxy,15
SpongeBob SquarePants,14
Iron Man,10
Scooby-Doo,10
Avatar,9
Minions,9
Angry Birds,6
Ben 10,6
Sonic The Hedgehog,6
Dora the Explorer,5
X-Men,3
Ghostbusters,2
The Powerpuff Girls,2
